datetime,order,direction,trade_position,trade_price,hold_position,pnl
2009/11/20,,,,,0,
2009/11/23,,,,,0,
2009/11/24,,,,,0,
2009/11/25,,,,,0,
2009/11/26,,,,,0,
2009/11/27,,,,,0,
2009/11/30,1,BK,1,4176,1,
2009/12/1,,,,,1,
2009/12/2,,,,,1,
2009/12/3,,,,,1,
2009/12/4,,,,,1,
2009/12/7,,,,,1,
2009/12/8,,,,,1,
2009/12/9,,,,,1,
2009/12/10,1,SP,-1,4215,0,39
2009/12/11,,,,,0,
2009/12/14,2,SK,-3,4314,-3,
2009/12/15,,,,,-3,
2009/12/16,,,,,-3,
2009/12/17,,,,,-3,
2009/12/18,,,,,-3,
2009/12/21,,,,,-3,
2009/12/22,,,,,-3,
2009/12/23,2,BP,3,4328,0,-42
2009/12/24,,,,,0,
2009/12/25,,,,,0,
2009/12/28,,,,,0,
2009/12/29,,,,,0,
2009/12/30,,,,,0,
2009/12/31,3,SK,-5,4442,-5,
2010/1/4,,,,,-5,
2010/1/5,,,,,-5,
2010/1/6,,,,,-5,
2010/1/7,,,,,-5,
2010/1/8,,,,,-5,
2010/1/11,3,BP,5,4511,0,-345
2010/1/12,,,,,0,
2010/1/13,,,,,0,
2010/1/14,,,,,0,
2010/1/15,,,,,0,
2010/1/18,,,,,0,
2010/1/19,4,BK,5,4401,5,
2010/1/20,,,,,5,
2010/1/21,,,,,5,
2010/1/22,,,,,5,
2010/1/25,,,,,5,
2010/1/26,,,,,5,
2010/1/27,,,,,5,
2010/1/28,,,,,5,
2010/1/29,,,,,5,
2010/2/1,,,,,5,
2010/2/2,,,,,5,
2010/2/3,,,,,5,
2010/2/4,,,,,5,
2010/2/5,4,SP,-2,4156,3,-1225
2010/2/8,,,,,3,
2010/2/9,,,,,3,
2010/2/10,,,,,3,
2010/2/11,,,,,3,
2010/2/12,,,,,3,
2010/2/22,,,,,3,
2010/2/23,,,,,3,
2010/2/24,4,SP,-3,4339,0,-186
2010/2/25,,,,,0,
2010/2/26,,,,,0,
2010/3/1,,,,,0,
2010/3/2,,,,,0,
2010/3/3,,,,,0,
2010/3/4,,,,,0,
2010/3/5,,,,,0,
2010/3/8,,,,,0,
2010/3/9,,,,,0,
2010/3/10,,,,,0,
