datetime,open,high,low,close,volume,openInterest,,closePosition,closePrice,commission,date,deal_DIRECTION,deal_OFFSET,netPnl,openPosition,positionPnl,previousClose,slippage,totalPnl,tradeCount,tradingPnl,turnover
2009/3/27,3566,3660,3514,3562,360228,46944,,0,3545,0,2009/3/30,,,0,0,0,0,0,0,0,0,0
2009/3/30,3551,3580,3529,3545,145888,49728,,0,3550,0,2009/3/31,,,0,0,0,3545,0,0,0,0,0
2009/3/31,3539,3567,3532,3550,71002,45918,,0,3548,0,2009/4/1,,,0,0,0,3550,0,0,0,0,0
2009/4/1,3561,3562,3545,3548,28388,43236,,0,3475,0,2009/4/2,,,0,0,0,3548,0,0,0,0,0
2009/4/2,3546,3550,3457,3475,236480,70388,,0,3450,0,2009/4/3,,,0,0,0,3475,0,0,0,0,0
2009/4/3,3482,3482,3439,3450,153874,77068,,0,3492,0,2009/4/7,,,0,0,0,3450,0,0,0,0,0
2009/4/7,3426,3519,3426,3492,243464,102722,,0,3465,0,2009/4/8,,,0,0,0,3492,0,0,0,0,0
2009/4/8,3481,3492,3457,3465,147714,94146,,0,3469,0,2009/4/9,,,0,0,0,3465,0,0,0,0,0
2009/4/9,3478,3488,3462,3469,88100,97168,,0,3486,0,2009/4/10,,,0,0,0,3469,0,0,0,0,0
2009/4/10,3484,3501,3471,3486,121774,102686,,0,3471,0,2009/4/13,,,0,0,0,3486,0,0,0,0,0
2009/4/13,3487,3495,3466,3471,110892,112270,,0,3561,0,2009/4/14,,,0,0,0,3471,0,0,0,0,0
2009/4/14,3477,3600,3471,3561,541858,153526,,0,3564,0,2009/4/15,,,0,0,0,3561,0,0,0,0,0
2009/4/15,3571,3591,3552,3564,256590,154898,,0,3598,0,2009/4/16,,,0,0,0,3564,0,0,0,0,0
2009/4/16,3584,3629,3573,3598,251234,172990,,0,3622,0,2009/4/17,,,0,0,0,3598,0,0,0,0,0
2009/4/17,3596,3650,3583,3622,340950,223986,,0,3625,0,2009/4/20,,,0,0,0,3622,0,0,0,0,0
2009/4/20,3622,3649,3617,3625,260904,242662,,0,3526,0,2009/4/21,,,0,0,0,3625,0,0,0,0,0
2009/4/21,3582,3592,3491,3526,333156,244330,,0,3528,0,2009/4/22,,,0,0,0,3526,0,0,0,0,0
2009/4/22,3552,3568,3510,3528,169038,237870,,0,3515,0,2009/4/23,,,0,0,0,3528,0,0,0,0,0
2009/4/23,3531,3533,3490,3515,131110,238052,,0,3503,0,2009/4/24,,,0,0,0,3515,0,0,0,0,0
2009/4/24,3515,3524,3499,3503,102004,251366,,0,3501,0,2009/4/27,,,0,0,0,3503,0,0,0,0,0
2009/4/27,3512,3522,3494,3501,102958,259882,,0,3509,0,2009/4/28,,,0,0,0,3501,0,0,0,0,0
2009/4/28,3498,3517,3498,3509,97352,268106,,0,3521,0,2009/4/29,,,0,0,0,3509,0,0,0,0,0
2009/4/29,3509,3521,3505,3521,102924,280628,,0,3554,0,2009/4/30,,,0,0,0,3521,0,0,0,0,0
2009/4/30,3538,3575,3525,3554,249142,304374,,0,3637,0,2009/5/4,,,0,0,0,3554,0,0,0,0,0
2009/5/4,3574,3661,3574,3637,575670,333112,,0,3578,0,2009/5/5,,,0,0,0,3637,0,0,0,0,0
2009/5/5,3637,3645,3573,3578,176798,317136,,0,3595,0,2009/5/6,,,0,0,0,3578,0,0,0,0,0
2009/5/6,3579,3599,3575,3595,104310,320716,,0,3594,0,2009/5/7,,,0,0,0,3595,0,0,0,0,0
2009/5/7,3629,3631,3592,3594,151292,326604,,0,3615,0,2009/5/8,,,0,0,0,3594,0,0,0,0,0
2009/5/8,3600,3617,3591,3615,104146,330660,,0,3640,0,2009/5/11,,,0,0,0,3615,0,0,0,0,0
2009/5/11,3616,3679,3607,3640,337180,346724,,0,3646,0,2009/5/12,,,0,0,0,3640,0,0,0,0,0
2009/5/12,3646,3661,3631,3646,194050,347022,,0,3640,0,2009/5/13,,,0,0,0,3646,0,0,0,0,0
2009/5/13,3656,3658,3635,3640,119000,348088,,0,3595,0,2009/5/14,,,0,0,0,3640,0,0,0,0,0
2009/5/14,3617,3621,3591,3595,140800,343940,,0,3605,0,2009/5/15,,,0,0,0,3595,0,0,0,0,0
2009/5/15,3601,3619,3597,3605,132894,345766,,0,3609,0,2009/5/18,,,0,0,0,3605,0,0,0,0,0
2009/5/18,3596,3613,3582,3609,105328,344404,,0,3619,0,2009/5/19,,,0,0,0,3609,0,0,0,0,0
2009/5/19,3631,3631,3612,3619,95996,343220,,0,3619,0,2009/5/20,,,0,0,0,3619,0,0,0,0,0
2009/5/20,3617,3645,3613,3619,119384,345506,,0,3625,0,2009/5/21,,,0,0,0,3619,0,0,0,0,0
2009/5/21,3621,3643,3619,3625,118058,349972,,0,3619,0,2009/5/22,,,0,0,0,3625,0,0,0,0,0
2009/5/22,3620,3628,3609,3619,60846,348174,,0,3610,0,2009/5/25,,,0,0,0,3619,0,0,0,0,0
2009/5/25,3630,3630,3601,3610,96118,361360,,0,3602,0,2009/5/26,,,0,0,0,3610,0,0,0,0,0
2009/5/26,3610,3621,3597,3602,114466,351202,,0,3611,0,2009/5/27,,,0,0,0,3602,0,0,0,0,0
2009/5/27,3629,3629,3607,3611,46624,344940,,0,3648,0,2009/6/1,,,0,0,0,3611,0,0,0,0,0
2009/6/1,3631,3658,3626,3648,194440,354262,,0,3656,0,2009/6/2,,,0,0,0,3648,0,0,0,0,0
2009/6/2,3661,3683,3653,3656,200640,352100,,0,3671,0,2009/6/3,,,0,0,0,3656,0,0,0,0,0
2009/6/3,3660,3673,3657,3671,105942,353088,,0,3701,0,2009/6/4,,,0,0,0,3671,0,0,0,0,0
2009/6/4,3651,3713,3650,3701,371940,372872,,0,3757,0,2009/6/5,,,0,0,0,3701,0,0,0,0,0
2009/6/5,3722,3779,3721,3757,269288,354748,,0,3789,0,2009/6/8,,,0,0,0,3757,0,0,0,0,0
2009/6/8,3756,3794,3748,3789,295768,358158,,0,3780,0,2009/6/9,,,0,0,0,3789,0,0,0,0,0
2009/6/9,3798,3807,3769,3780,216332,354894,,0,3810,0,2009/6/10,,,0,0,0,3780,0,0,0,0,0
2009/6/10,3793,3814,3775,3810,240044,359942,,0,3880,0,2009/6/11,,,0,0,0,3810,0,0,0,0,0
2009/6/11,3812,3940,3810,3880,638952,390384,,0,3866,0,2009/6/12,,,0,0,0,3880,0,0,0,0,0
2009/6/12,3890,3928,3838,3866,593530,368156,,0,3851,0,2009/6/15,,,0,0,0,3866,0,0,0,0,0
2009/6/15,3857,3879,3826,3851,370066,359880,,0,3867,0,2009/6/16,,,0,0,0,3851,0,0,0,0,0
2009/6/16,3831,3883,3830,3867,363330,358108,,0,3854,0,2009/6/17,,,0,0,0,3867,0,0,0,0,0
2009/6/17,3863,3880,3843,3854,219252,355684,,0,3844,0,2009/6/18,,,0,0,0,3854,0,0,0,0,0
2009/6/18,3854,3867,3833,3844,194002,346052,,0,3909,0,2009/6/19,,,0,0,0,3844,0,0,0,0,0
2009/6/19,3855,3920,3849,3909,567686,374264,,0,3921,0,2009/6/22,,,0,0,0,3909,0,0,0,0,0
2009/6/22,3910,3937,3902,3921,506902,384702,,0,3884,0,2009/6/23,,,0,0,0,3921,0,0,0,0,0
2009/6/23,3899,3902,3838,3884,503470,393540,,0,3872,0,2009/6/24,,,0,0,0,3884,0,0,0,0,0
2009/6/24,3891,3899,3861,3872,287118,403700,,0,3869,0,2009/6/25,,,0,0,0,3872,0,0,0,0,0
