datetime,open,high,low,close,volume,oi
2009/11/20,4217,4231,4173,4189,3246962,1584742
2009/11/23,4200,4257,4195,4253,3452362,1664720
2009/11/24,4242,4275,4178,4205,4100678,1565898
2009/11/25,4217,4254,4203,4245,2911704,1568790
2009/11/26,4255,4281,4207,4230,3618458,1536136
2009/11/27,4201,4205,4090,4103,4489744,1357386
2009/11/30,4141,4200,4134,4176,4127396,1322396
2009/12/1,4196,4199,4146,4177,3533184,1366128
2009/12/2,4196,4225,4172,4204,3107368,1399364
2009/12/3,4206,4227,4197,4213,2424830,1348124
2009/12/4,4199,4234,4185,4218,2757060,1344486
2009/12/7,4203,4245,4203,4221,2184190,1349178
2009/12/8,4229,4231,4155,4186,3184318,1368436
2009/12/9,4156,4168,4132,4147,2048940,1334312
2009/12/10,4147,4217,4134,4215,3581172,1432768
2009/12/11,4234,4286,4233,4276,3359176,1454144
2009/12/14,4281,4315,4224,4314,3006678,1542030
2009/12/15,4319,4322,4282,4289,2829612,1560224
2009/12/16,4286,4319,4276,4296,1727378,1539676
2009/12/17,4317,4332,4287,4294,1823286,1482332
2009/12/18,4261,4299,4261,4287,1128060,1381340
2009/12/21,4298,4325,4283,4325,1246578,1433980
2009/12/22,4323,4352,4317,4324,2026046,1429684
2009/12/23,4328,4347,4318,4328,1250948,1400856
2009/12/24,4347,4399,4333,4386,1600242,1523708
2009/12/25,4386,4404,4370,4386,1201308,1458272
2009/12/28,4393,4464,4393,4456,1450906,1525236
2009/12/29,4456,4474,4424,4431,1498642,1486884
2009/12/30,4429,4445,4412,4418,1032652,1434948
2009/12/31,4425,4447,4418,4442,1024594,1386054
2010/1/4,4453,4540,4453,4510,1920496,1440366
2010/1/5,4519,4535,4505,4526,1381968,1461296
2010/1/6,4521,4575,4520,4565,1586736,1520354
2010/1/7,4584,4597,4374,4457,2438390,1410582
2010/1/8,4467,4472,4401,4448,1759354,1364488
2010/1/11,4479,4512,4467,4511,1323994,1433984
2010/1/12,4502,4521,4475,4506,1360398,1459726
2010/1/13,4417,4458,4365,4421,1650242,1365694
2010/1/14,4451,4466,4435,4438,1181522,1395908
2010/1/15,4423,4442,4369,4380,1451816,1372008
2010/1/18,4348,4409,4340,4408,1288420,1363864
2010/1/19,4418,4429,4380,4401,1357038,1298086
2010/1/20,4408,4412,4368,4383,1371996,1246114
2010/1/21,4355,4383,4350,4374,1056880,1259108
2010/1/22,4342,4358,4284,4305,1389220,1229926
2010/1/25,4300,4309,4280,4296,1027912,1246370
2010/1/26,4304,4308,4278,4288,983040,1213230
2010/1/27,4296,4344,4289,4335,1603948,1260694
2010/1/28,4282,4335,4282,4314,1962838,1274628
2010/1/29,4300,4334,4298,4323,1334538,1230714
2010/2/1,4340,4355,4302,4319,1281612,1218882
2010/2/2,4340,4345,4162,4196,2971710,1199562
2010/2/3,4210,4228,4179,4222,1813120,1161272
2010/2/4,4190,4199,4141,4163,1397792,1126482
2010/2/5,4135,4157,4117,4156,1099704,1053930
2010/2/8,4169,4186,4152,4178,696212,1028412
2010/2/9,4172,4210,4165,4203,722978,1038480
2010/2/10,4225,4273,4208,4258,908752,1035296
2010/2/11,4267,4289,4247,4282,609954,1033608
2010/2/12,4302,4354,4289,4352,762264,1029822
2010/2/22,4389,4437,4297,4308,1311314,1097732
2010/2/23,4305,4369,4287,4358,1458096,1251024
2010/2/24,4335,4355,4313,4339,1369490,1299454
2010/2/25,4342,4357,4305,4319,1398622,1296626
2010/2/26,4314,4346,4293,4344,1150256,1270554
2010/3/1,4364,4386,4342,4382,1245640,1320128
2010/3/2,4363,4378,4329,4338,1300704,1275758
2010/3/3,4357,4357,4316,4332,1109502,1287346
2010/3/4,4339,4344,4311,4316,1393248,1279164
2010/3/5,4325,4352,4306,4349,1218974,1268192
2010/3/8,4350,4417,4350,4414,1371918,1336594
2010/3/9,4407,4449,4395,4442,1404174,1354404
2010/3/10,4448,4473,4443,4471,1683088,1327090
